county_fips,county,asthma_pct,lat,lon,low_confidence_limit,high_confidence_limit,smoking_pct,obesity_pct,diabetes_pct,no_physical_activity_pct,binge_drinking_pct,pm25_ug_m3_annual_mean
01017,Chambers,10.7,32.9141677822456,-85.3917577489906,9.4,12.2,17.7,41.5,17.9,34.3,11.8,10.256415525114155
01013,Butler,10.9,31.7525985102121,-86.6804536012984,9.5,12.3,18.3,40.4,18.9,37.1,11.6,10.098732876712328
01087,Macon,11.7,32.3858126404866,-85.6921198346528,10.2,13.2,15.6,46.7,20.0,35.2,10.4,10.138276255707764
01129,Washington,10.5,31.4075499895542,-88.2081714139416,9.2,11.9,17.3,41.1,17.0,31.9,12.9,9.690981735159818
01003,Baldwin,9.3,30.7277455824565,-87.7226204578951,8.1,10.5,13.0,35.2,13.4,25.4,14.6,9.352465753424658
01069,Houston,10.4,31.153023163546,-85.3024748570754,9.1,11.7,16.0,40.5,15.7,29.0,13.3,9.75033105022831
01097,Mobile,9.7,30.7791692937068,-88.20640909701,8.5,11.0,15.4,39.0,16.1,30.7,13.7,9.74150684931507
01107,Pickens,10.6,33.2807870081005,-88.0891310718596,9.4,12.0,18.7,48.0,18.0,34.8,12.6,10.415045662100457
01115,St. Clair,10.0,33.7153193943775,-86.3145905166032,8.7,11.4,15.2,39.6,13.0,27.6,15.3,10.585981735159818
01055,Etowah,10.3,34.0451449448922,-86.0349319631417,9.0,11.7,17.8,43.8,16.3,33.3,13.9,10.443333333333333
01133,Winston,10.3,34.1492657099146,-87.373658054727,9.0,11.7,19.6,39.1,16.5,34.1,13.5,10.516837899543379
01065,Hale,11.3,32.7624422973756,-87.6288617663726,9.9,12.8,18.9,47.6,19.7,36.0,11.2,9.878767123287671
01019,Cherokee,10.2,34.1758355642538,-85.6038430238838,8.9,11.6,17.5,39.5,16.0,31.4,13.5,10.22609589041096
01081,Lee,10.1,32.601254498925,-85.3550362108983,8.8,11.5,12.9,38.4,12.5,25.0,15.5,10.256415525114155
01119,Sumter,11.6,32.5909755138009,-88.1991356439475,10.1,13.1,16.3,47.2,19.7,35.6,10.9,9.980171232876712
01049,DeKalb,10.1,34.4598606858773,-85.8039693236418,8.8,11.5,19.6,38.6,15.7,33.8,14.1,10.052123287671234
01067,Henry,10.3,31.5148475570572,-85.2412788046304,9.1,11.7,16.6,41.3,16.7,31.4,12.7,9.952716894977168
01051,Elmore,10.0,32.5970686891064,-86.1484340236509,8.7,11.3,15.1,38.9,13.0,26.2,14.8,10.052009132420093
01101,Montgomery,10.7,32.220703470576,-86.2076996333806,9.5,12.1,14.4,46.1,16.4,30.6,12.2,10.7224200913242
01035,Conecuh,11.0,31.4293022573494,-86.9935445067511,9.7,12.5,20.5,46.4,22.1,39.4,10.6,10.098732876712328
01025,Clarke,10.8,31.6768474292414,-87.8308687688628,9.5,12.3,17.7,43.9,18.4,34.4,11.6,9.63912100456621
01033,Colbert,10.3,34.7004396828047,-87.8049657872681,9.0,11.7,16.2,37.5,15.0,28.6,14.0,9.479178082191781
01071,Jackson,10.3,34.7796392771775,-85.9995052603961,9.0,11.7,19.0,39.3,16.0,32.5,13.9,9.543961187214613
01085,Lowndes,11.7,32.1550262402887,-86.6500611800636,10.2,13.1,21.6,51.2,24.1,41.4,9.6,10.0999200913242
01127,Walker,10.3,33.8031253577516,-87.2978092396997,9.0,11.8,18.4,35.8,15.1,32.2,13.7,10.516837899543379
01015,Calhoun,10.6,33.7714931264898,-85.8257674379293,9.3,12.0,16.3,38.6,14.8,31.9,14.3,10.32095890410959
01029,Cleburne,10.0,33.6749172926082,-85.5179075897695,8.6,11.4,17.8,37.4,14.6,30.5,14.6,10.120171232876713
01077,Lauderdale,9.9,34.9014438477101,-87.6540983850983,8.7,11.3,14.2,35.6,12.9,26.7,14.6,9.569440639269407
01063,Greene,12.0,32.8530437219041,-87.9519483428688,10.5,13.6,22.3,52.7,27.1,44.7,8.8,10.083789954337899
01007,Bibb,10.4,32.9984605509544,-87.1265925390144,9.0,11.8,19.7,43.9,16.2,33.3,14.0,9.820582191780822
01037,Coosa,10.3,32.9362201904239,-86.2475655062285,8.9,11.7,17.8,41.9,18.6,33.5,12.0,10.140285388127854
01123,Tallapoosa,10.3,32.862586933353,-85.797257686572,9.0,11.7,16.3,39.5,16.8,30.0,12.7,9.984577625570775
01093,Marion,10.2,34.1365876476739,-87.8871984960778,9.0,11.6,18.5,42.4,15.5,32.2,13.9,9.789052511415525
01079,Lawrence,10.5,34.5216735395968,-87.3108851040374,9.2,12.0,18.5,39.5,15.5,31.1,14.0,10.285045662100456
01075,Lamar,10.3,33.7791463830423,-88.0969548281156,9.0,11.8,18.8,40.8,16.7,32.3,13.3,10.20445205479452
01023,Choctaw,10.9,32.0198224293383,-88.2631706219377,9.6,12.3,18.2,44.4,20.1,36.4,11.3,9.694280821917808
